gate,check,value,criterion,status,note
M1,coarse: tags wall/farfield/symmetry/wake,['farfield', 'symmetry', 'wake', 'wall'],complete,PASS,
M1,coarse: P2 topology asserts through cut_wake,pass,no assert fires,PASS,
M1,coarse: per-node TE stations (swept TE),83,== n_te_nodes,PASS,
M1,coarse: tip free edge single-valued,106,all at z=B_SEMI; none duplicated,PASS,
M1,coarse: Kutta probes found both sides,83 pairs,y>0 upper / y<0 lower,PASS,
M1,medium: tags wall/farfield/symmetry/wake,['farfield', 'symmetry', 'wake', 'wall'],complete,PASS,
M1,medium: P2 topology asserts through cut_wake,pass,no assert fires,PASS,
M1,medium: per-node TE stations (swept TE),166,== n_te_nodes,PASS,
M1,medium: tip free edge single-valued,208,all at z=B_SEMI; none duplicated,PASS,
M1,medium: Kutta probes found both sides,166 pairs,y>0 upper / y<0 lower,PASS,
M1,quality within bounds on all 3 levels,worst min-dihedral 3.53 deg,>= 2.0 deg; aspect <= 60.0,PASS,
M1,refinement ladder monotone (one h parameter),55531/350718/2513255,n_tets grows ~2^3 per level,PASS,
M1,freestream residual on cut mesh (interior rows),4.3e-14,< 1e-10 (G2.1 analogue),PASS,
