gate,check,value,criterion,status,note
B6,Neumann M0.80 physical field (lim+flr),0,0,PASS,
B6,Neumann M0.80 M_max,1.392,< 1.6 (Newton 1.408),PASS,
B6,Neumann M0.80 Gamma vs Newton ~0.2295,0.2114 (-7.9%),within 10% (Picard quality; conf-Picard stall is -21%),PASS,
B6,live-vortex runaway recorded (gain > 1),Gamma_max 0.572,> 0.30 (diverged past the solution -- the negative result that set the recipe),PASS,
B6,global-damping throttle recorded,Gamma_end 0.099,< Newton value (never arrives),PASS,
B6,M0 wake-embedded: shock inside the Picard-quality band,0.644,0.658 +/- 0.06 (Newton lock; conf Picard 0.604),PASS,
B6,M0 wake-embedded: clean field,lim/flr 0/0,0/0,PASS,
B6,M0 wake-embedded: Gamma vs Newton truth 0.2295 (NOT the conforming Picard stall),0.2114 (-7.9%),within 10% (conf Picard is -21%),PASS,
B6,M3 wake-free: shock inside the Picard-quality band,0.678,0.658 +/- 0.06 (Newton lock; conf Picard 0.604),PASS,
B6,M3 wake-free: clean field,lim/flr 0/0,0/0,PASS,
B6,M3 wake-free: Gamma vs Newton truth 0.2295 (NOT the conforming Picard stall),0.2315 (+0.9%),within 10% (conf Picard is -21%),PASS,
B6,dual-mesh spread at the fold (both straddle Newton),9.5%,recorded (fold widens it from B3's 0.3%; both within 10% of Newton above),PASS,
B6,subcritical A/B (M0.5),+0.32%,< 2% (B3 clause; inherited),PASS,
B6,weak-pocket A/B (M0.65),+0.51%,< 2%,PASS,
