gate,check,value,criterion,status,note
G14.1,naca_gamma_band,0.074%; 5 updates,pressure Gamma within 2% of probe; converged in < 20 updates,PASS,
V14.2,coarse_m05_both_converged,probe 3 / pressure 4 steps,both Newton solves converge,PASS,
G14.3,coarse_m05_cross_read,probe reads pressure state at 3.67% median,< 5% (the probe's own O(h) bias; the cl move below is that bias 1/(1-b)-amplified),PASS,
G14.3,coarse_m05_lift_move_recorded,cl_p +2.08%; cl_KJ +2.03%,< 8% vs probe path; spanwise dGamma committed,PASS,
G14.2,coarse_m05_roughness_ab,probe 0.1203 -> pressure 0.0052,pressure <= probe (S1 A/B at M0.5),PASS,
G14.2,coarse_m05_te_gap_ab,probe 0.2278 -> pressure 0.0045,pressure < probe (S2 A/B at M0.5; raw recovery),PASS,
V14.3,medium_m05_both_converged,probe 6 / pressure 3 steps,both Newton solves converge,PASS,
G14.3,medium_m05_cross_read,probe reads pressure state at 1.05% median,< 2% (the probe's own O(h) bias; the cl move below is that bias 1/(1-b)-amplified),PASS,
G14.3,medium_m05_lift_move_recorded,cl_p +4.50%; cl_KJ +4.46%,< 8% vs probe path; spanwise dGamma committed,PASS,
G14.2,medium_m05_roughness_ab,probe 0.0504 -> pressure 0.0024,pressure <= probe (S1 A/B at M0.5),PASS,
G14.2,medium_m05_te_gap_ab,probe 0.1603 -> pressure 0.0026,pressure < probe (S2 A/B at M0.5; raw recovery),PASS,
G14.3,cross_read_oh_decay,coarse 3.67% -> medium 1.05%,probe reading bias decreases under refinement (O(h)),PASS,
G14.5,coarse_m084_converged,11 steps final level; |R|=6.98e-12; lim/flr 0/0,pressure ramp converges; 0 limited/floored,PASS,
G14.5,coarse_m084_roughness_band,0.0043 (A2 probe baseline 0.0970),in/below the LS band [0.003; 0.009],PASS,
G14.6,coarse_m084_te_gap,all-station raw median 0.0040 (A2 probe all-station baseline 0.2206 = 55x),< 0.02 raw (fallback: <= 3x LS band = 0.027),PASS,
G14.5,coarse_m084_discriminator,D = 1.80 (probe estimator was 7.33),D = O(1): new estimator does not regenerate jitter from a smooth field (pre-registered confirm-band was > 3),PASS,
G14.5,medium_m084_converged,12 steps final level; |R|=5.64e-15; lim/flr 0/0,pressure ramp converges; 0 limited/floored,PASS,
G14.5,medium_m084_roughness_band,0.0024 (A2 probe baseline 0.0365),in/below the LS band [0.003; 0.009],PASS,
G14.6,medium_m084_te_gap,all-station raw median 0.0024 (A2 probe all-station baseline 0.1585 = 67x),< 0.02 raw (fallback: <= 3x LS band = 0.027),PASS,
G14.7,medium_m084_lift_vs_levelset,cl_p 0.2776 vs LS 0.2772 (0.15%); cl_KJ 0.2823 vs LS 0.2813 (0.34%),< 1% vs the level-set oracle (re-specced from the probe G8.2 locks; V14.6 confirms live),PASS,
G14.7,medium_m084_move_off_probe_locks,cl_p +4.92%; cl_KJ +4.85% vs G8.2 probe; |cl_KJ-0.288| 0.0188->0.0057 (69% closed),RECORDED; not a gate: the corrected lift; moving toward the inviscid reference; single-mesh medium; NOT a grid-convergence claim (P9: no fine discrete solution),PASS,
V14.7,te_spike_vs_probe,raw mean 0.0533 vs A2's conforming-probe 0.1143 (2.1x),the spike DROPS -- refuting P14's own first claim that it is a wake-model-independent recovery artifact,PASS,
V14.7,te_spike_vs_levelset,raw mean 0.0533 vs level-set 0.0743,at/below the level-set path (whose Kutta was already pressure-equality) -- the residual is the genuine shared P1 recovery floor,PASS,
V14.7,te_spike_smoothing_inert,passes 0/1/2 -> 0.0533/0.0660/0.0626,RECORDED: P6 smoothing no longer helps (A2 measured 0.147->0.081 on the probe path) -- consistent with the Kutta-form component being gone; not the recovery one,PASS,
V14.8,sections_probe_vs_pressure_figure,sections_probe_vs_pressure.png (4 eta x upper/lower),committed figure: the S2 curve behind the TE-gap and spike scalars,PASS,
V14.6,cross_model_lift_agreement,conforming-pressure 0.2776/0.2823 vs level-set 0.2772/0.2813 -> 0.17%/0.36% (the PROBE path was 4.5%/4.3% below LS),two independent wake models agree < 1% on cl_p and cl_KJ once both use pressure-equality Kutta,PASS,
V14.6,cross_model_metrics,roughness 0.0024 vs LS 0.0033; all-station TE gap 0.0024 vs LS 0.0047 (same sweep; both paths),conforming-pressure at or below the LS path on both A2 symptom metrics,PASS,
V14.6,crossmodel_figures,crossmodel_spanwise.png + crossmodel_sections.png,committed figures: spanwise loading and section Cp; conforming-pressure vs level-set,PASS,
