gate,check,value,criterion,status,note
GA2.1,roughness(committed p5_gamma_baseline.csv) == B7,0.0970,0.097 +-10%,PASS,
GA2.1,roughness(ls_m1_coarse cache) == B7,0.0079,0.0079 +-10%,PASS,
GA2.1,roughness(ls_m4_coarse cache) == B7,0.0091,0.0091 +-10%,PASS,
A2-sanity,conf_picard_coarse: rebuilt cut matches cache (station_z bitwise),True,cut_wake deterministic,PASS,
GA2.3,conf_picard_coarse: Kutta closure residual max|F|/max|Γ|,0.51% (median 0.33%),recorded (H2: small |F| + persisting jitter => noise lives in the target definition),PASS,
GA2.2,conf_picard_coarse: probe-geometry correlation (supporting only; correlation != causation),top |r|: shared_up r=-0.14,recorded; H1 verdict needs the intervention leg,PASS,
A2-sanity,conf_picard_medium: rebuilt cut matches cache (station_z bitwise),True,cut_wake deterministic,PASS,
GA2.3,conf_picard_medium: Kutta closure residual max|F|/max|Γ|,0.59% (median 0.26%),recorded (H2: small |F| + persisting jitter => noise lives in the target definition),PASS,
GA2.2,conf_picard_medium: probe-geometry correlation (supporting only; correlation != causation),top |r|: dz_lo r=0.11,recorded; H1 verdict needs the intervention leg,PASS,
A2-sanity,conf_newton_medium: rebuilt cut matches cache (station_z bitwise),True,cut_wake deterministic,PASS,
GA2.3,conf_newton_medium: Kutta closure residual max|F|/max|Γ|,0.00% (median 0.00%),recorded (H2: small |F| + persisting jitter => noise lives in the target definition),PASS,
GA2.2,conf_newton_medium: probe-geometry correlation (supporting only; correlation != causation),top |r|: dz_lo r=0.11,recorded; H1 verdict needs the intervention leg,PASS,
GA2.2,conf_picard_coarse: wall Δφ jitter at x/c=0.92 vs station-Γ jitter,0.02x,recorded (<<1 => jitter confined to the TE layer; supports H1),PASS,
GA2.2,conf_picard_medium: wall Δφ jitter at x/c=0.92 vs station-Γ jitter,0.07x,recorded (<<1 => jitter confined to the TE layer; supports H1),PASS,
GA2.2,conf_newton_medium: wall Δφ jitter at x/c=0.92 vs station-Γ jitter,0.07x,recorded (<<1 => jitter confined to the TE layer; supports H1),PASS,
GA2.4,TE closure on each method's OWN constraint (coarse),conf probe-|F| see GA2.3; LS CV pressure gap median 1.4e-09,recorded (both ~0: each method zeroes its own residual),PASS,
GA2.4,conforming TE pressure gap; all-station sweep (coarse),median 0.221,recorded (P13 committed prose range 0.14-0.22),PASS,
GA2.4,TE gap; SAME estimator: section last points; raw recovery (coarse),conforming 0.318 vs level-set 0.009 (34x),recorded (H4: conforming >> LS = Kutta-FORM error),PASS,
GA2.4,TE closure on each method's OWN constraint (medium),conf probe-|F| see GA2.3; LS CV pressure gap median 4.9e-07,recorded (both ~0: each method zeroes its own residual),PASS,
GA2.4,conforming TE pressure gap; all-station sweep (medium),median 0.175,recorded (P13 committed prose range 0.14-0.22),PASS,
GA2.4,TE gap; SAME estimator: section last points; raw recovery (medium),conforming 0.228 vs level-set 0.002 (133x),recorded (H4: conforming >> LS = Kutta-FORM error),PASS,
GA2.2,H1 discriminator D (fixed-Γ intervention; gated sibling),coarse 7.33 / medium 25.70 (H1 CONFIRMED),D>3 confirm (pre-registered); see checks_interventions.csv,PASS,run_a2_interventions.py
