gate,check,value,criterion,status,note
G13.2,none: Cp sawtooth = P6 recovery artifact,slope reversals raw 40 -> P6-smoothed 2,P6 smoothing removes >= 80% of reversals,PASS,per-triangle wall-gradient recovery on the flat-facet P1 wall (roadmap P6/G6.1). Default smooth_passes=0; the raw count is the SAME for every tip model => taper-independent
G13.2,none: Gamma(z) jitter is probe-placement; not post-processing,RMS d2 = 0.0422,<= the P5 conforming record (0.097),PASS,conforming Kutta probes are picked per station on an unstructured swept TE (adjacent stations even SHARE probes; P5); the level-set path is 11-12x smoother (B7) because its implicit Kutta has no per-station probe
G13.2,tanh_half_rc0.10: is the taper LOCAL to the tip?,reaches inboard to eta=0.77; inboard circulation -4.90%,eta_reach > 0.90 and |inboard| < 1%,FAIL,a LOCAL taper is a tip-model change; a GLOBAL one silently re-rigs the whole wing
G13.2,tanh_half_rc0.10: Cp sawtooth = P6 recovery artifact,slope reversals raw 40 -> P6-smoothed 2,P6 smoothing removes >= 80% of reversals,PASS,per-triangle wall-gradient recovery on the flat-facet P1 wall (roadmap P6/G6.1). Default smooth_passes=0; the raw count is the SAME for every tip model => taper-independent
G13.2,tanh_half_rc0.10: Gamma(z) jitter is probe-placement; not post-processing,RMS d2 = 0.0413,<= the P5 conforming record (0.097),PASS,conforming Kutta probes are picked per station on an unstructured swept TE (adjacent stations even SHARE probes; P5); the level-set path is 11-12x smoother (B7) because its implicit Kutta has no per-station probe
G13.2,tanh_half_rc0.10: TE closure UNDISTURBED outside the taper (eta=0.44),gap 0.140 vs baseline 0.139,within 0.05 of baseline,PASS,a tip model must not relax the Kutta condition where there is no singularity to fix
G13.2,vanish_smooth_rc0.05: is the taper LOCAL to the tip?,reaches inboard to eta=0.96; inboard circulation -0.51%,eta_reach > 0.90 and |inboard| < 1%,PASS,a LOCAL taper is a tip-model change; a GLOBAL one silently re-rigs the whole wing
G13.2,vanish_smooth_rc0.05: Cp sawtooth = P6 recovery artifact,slope reversals raw 40 -> P6-smoothed 2,P6 smoothing removes >= 80% of reversals,PASS,per-triangle wall-gradient recovery on the flat-facet P1 wall (roadmap P6/G6.1). Default smooth_passes=0; the raw count is the SAME for every tip model => taper-independent
G13.2,vanish_smooth_rc0.05: Gamma(z) jitter is probe-placement; not post-processing,RMS d2 = 0.0425,<= the P5 conforming record (0.097),PASS,conforming Kutta probes are picked per station on an unstructured swept TE (adjacent stations even SHARE probes; P5); the level-set path is 11-12x smoother (B7) because its implicit Kutta has no per-station probe
G13.2,vanish_smooth_rc0.05: TE closure UNDISTURBED outside the taper (eta=0.44),gap 0.139 vs baseline 0.139,within 0.05 of baseline,PASS,a tip model must not relax the Kutta condition where there is no singularity to fix
G13.2,vanish_smooth_rc0.05: TE closure UNDISTURBED outside the taper (eta=0.9),gap 0.232 vs baseline 0.218,within 0.05 of baseline,PASS,a tip model must not relax the Kutta condition where there is no singularity to fix
