check,status,detail
live Newton does NOT converge (the limit cycle),PASS,|R|=2.84e-07 after 60 steps
...and it is a CLEAN stall (0 limited/floored) = assignment churn,PASS,lim/flr=0/0
frozen Newton CONVERGES,PASS,|R|=1.16e-12 in 22 steps (reason=assignment_cycle)
...in fewer steps than the live budget,PASS,22 vs 60
...and the freeze does NOT move the solution,PASS,gamma 0.218809 vs live 0.218804
...with no freeze reverts,PASS,
PICARD leaves top Mach levels UNCONVERGED (the plateau),PASS,"3/5 levels, |R|=1.55e-05, 962 outers, 41.7s"
NEWTON ramp reaches the target STRICTLY,PASS,"|R|=3.10e-12, 7.7s"
...0 limited / 0 floored,PASS,
...and it is FASTER than the (stalled) Picard,PASS,7.7s vs 41.7s = 5.4x
M_max consistent with the same-mesh CONFORMING-Newton truth (1.408),PASS,M_max=1.3924 vs 1.408
intermediate_tol does NOT move the final solution,PASS,gamma 0.212445 vs strict 0.212445
...and it is faster still,PASS,6.6s vs 7.7s; newton steps 38 vs 48
M6 medium M0.84: the Newton ramp REACHES the target,FAIL,"m_final=0.6625000000000001, 1329s (22.1 min)"
...every ramp level converged,FAIL,2/5 levels
"...the freeze armed at every level, with no reverts",PASS,"froze=[1, 1, 1, 1, 1]"
...FASTER than the committed Picard (2304.7 s),PASS,1329s vs 2304.7s = 1.73x
"...and the PLATEAU is gone: |R| ~1e-11, not the Picard 1e-5..1e-4",PASS,|R|=9.20e-14 (Picard parks at 1e-5..1e-4)
...M_max agrees with the committed Picard (2.4549) within 5%,FAIL,M_max=1.5822 vs 2.4549
"...HONEST: the converged state CARRIES clamped cells (semantics relaxed by freeze_max_clamped>0, NOT a 0-clamped solution)",PASS,"live lim/flr=0/0 of 329645 tets (Picard <=3); per level [M0.60:0/0, M0.65:0/0, M0.70:0/0, M0.68:0/0, M0.66:0/0]; accept routes ['assignment_cycle', 'not-converged']"
